Review_ID,Customer_ID,Email,Product,Category,Brand,Price,Rating,Review,Review_Date,Verified_Purchase,Helpful_Votes,Sentiment
1,CUST00001,customer00001@gmail.com,Laptop Bag,Accessories,Nike,1122.01,4.0,Happy with purchase,2024-09-27,Yes,50,Positive
2,CUST00002,customer00002@gmail.com,Wireless Mouse,Electronics,Puma,451.09,1.0,Not good,2024-07-27,No,2,Negative
3,CUST00003,customer00003@gmail.com,Smart Watch,Electronics,Boat,843.17,,Happy with purchase,2024-01-11,No,10,Positive
4,CUST00004,customer00004@outlook.com,Smart Watch,Electronics,Sony,1240.67,4.0,Happy with purchase,2024-12-02,Yes,7,Positive
5,CUST00005,customer00005@hotmail.com,Face Wash,Beauty,Dell,2631.84,5.0,Happy with purchase,2024-06-11,No,24,Positive
6,CUST00006,customer00006@yahoo.com,Coffee Mug,Kitchen,Nike,3803.84,,Poor quality,2024-04-23,No,35,Negative
7,CUST00007,customer00007@outlook.com,Bluetooth Speaker,Electronics,Sony,740.55,2.0,Waste of money,2024-02-03,Yes,49,Negative
8,CUST00008,customer00008@gmail.com,Backpack,Accessories,Sony,4816.79,3.0,Average product,2024-10-29,Yes,22,Neutral
9,CUST00009,customer00009@yahoo.com,Face Wash,Beauty,Dell,3926.1,5.0,Happy with purchase,2024-09-04,Yes,18,Positive
10,CUST00010,customer00010@hotmail.com,Wireless Mouse,Electronics,Sony,4921.37,3.0,Can be better,2024-09-02,Yes,16,Neutral
11,CUST00011,customer00011@hotmail.com,Laptop Bag,Accessories,Nike,3920.63,5.0,happy with purchase,2024-09-05,No,19,Positive
12,CUST00012,customer00012@gmail.com,Laptop Bag,Accessories,Boat,1506.0,5.0,,2024-06-15,Yes,37,Positive
13,CUST00013,customer00013@yahoo.com,Backpack,Accessories,Boat,1136.73,3.0,Can be better,2024-11-24,No,50,Neutral
14,CUST00014,customer00014@yahoo.com,Laptop Bag,Accessories,Sony,3200.7,1.0,Poor quality,2024-04-02,Yes,24,Negative
